provider_id,provider_name,state,specialty,total_claims,total_payment,avg_claim_amount,claim_count_rank,claims_count,claims_total_amount,claims_avg_amount,claim_amount_std,unique_procedures,unique_diagnoses,avg_procedures_per_claim,avg_diagnoses_per_claim,procedure_concentration,volume_percentile_in_specialty,cluster,cluster_risk_score,volume_risk_score,amount_risk_score,specialty_base_risk,specialty_concentration,specialty_risk_score,proc_concentration_percentile,diagnosis_concentration,diag_concentration_percentile,diversity_risk_score,composite_risk_score,risk_category,investigation_priority
P000000,Healthcare Provider 0,FL,Orthopedics,98,5060.370183129221,103.426491108723,556,9,1869.96,207.77,101.28,4,4,0.444,0.444,0.04081632653061224,0.94,0,57.18574702902349,28.3,0.1,50.0,0.25547445255474455,46.167883211678834,76.64307381193125,0.04081632653061224,89.58543983822042,18.179979777553086,1.8,Low,Low
P000001,Healthcare Provider 1,NY,Cardiology,105,25366.109709814875,646.3057016565317,356,6,1330.75,221.79,90.76,2,3,0.333,0.5,0.01904761904761905,0.674,0,57.18574702902349,51.4,62.7,65.0,0.24675324675324675,60.18831168831169,13.498483316481295,0.02857142857142857,46.562184024266934,73.27603640040445,79.3,High,High
P000002,Healthcare Provider 2,CA,Orthopedics,122,67403.86536249434,406.51202498478574,540,4,745.19,186.3,114.69,3,3,0.75,0.75,0.02459016393442623,0.403,1,53.64814949992073,100.0,37.3,50.0,0.3469387755102041,44.795918367346935,26.643073811931245,0.02459016393442623,33.114256825075834,70.76845298281091,78.7,High,High
P000003,Healthcare Provider 3,FL,Internal Medicine,84,38151.32031215708,681.2474247130461,429,2,160.4,80.2,10.99,2,2,1.0,1.0,0.023809523809523808,0.098,1,53.64814949992073,3.0,67.4,70.0,0.23357664233576642,65.0948905109489,26.238624873609705,0.023809523809523808,31.749241658240646,71.55712841253792,57.0,Medium,Medium
P000004,Healthcare Provider 4,DC,Internal Medicine,99,43994.056394539606,228.40742867376892,17,5,756.44,151.29,94.6,3,3,0.6,0.6,0.030303030303030304,0.52,0,57.18574702902349,31.8,6.3,70.0,0.23015873015873015,65.16666666666667,45.601617795753285,0.030303030303030304,55.25783619817998,50.53589484327604,14.3,Low,Low
P000005,Healthcare Provider 5,CA,Internal Medicine,92,108811.55262177848,408.3822690765376,639,1,82.76,82.76,0.0,1,1,1.0,1.0,0.010869565217391304,0.025,1,53.64814949992073,10.6,37.7,70.0,0.20408163265306123,65.71428571428572,5.712841253791709,0.010869565217391304,6.825075834175935,93.8422649140546,43.6,Medium,Medium
P000006,Healthcare Provider 6,CA,Family Practice,104,20616.70018885396,449.1753082418073,379,7,1268.49,181.21,103.08,3,3,0.429,0.429,0.028846153846153848,0.756,0,57.18574702902349,48.1,44.1,50.0,0.23809523809523808,46.42857142857143,38.4732052578362,0.028846153846153848,48.23053589484327,57.62386248736097,57.6,Medium,Medium
P000007,Healthcare Provider 7,FL,Cardiology,100,11463.327875543757,304.63329829286994,680,7,1056.63,150.95,100.5,4,4,0.571,0.571,0.04,0.807,0,57.18574702902349,35.8,18.1,65.0,0.31386861313868614,58.879562043795616,74.46916076845298,0.04,87.41152679474217,20.353892821031337,14.0,Low,Low
P000008,Healthcare Provider 8,VA,Family Practice,89,72367.6780316789,185.54289603138724,506,3,972.24,324.08,395.02,2,2,0.667,0.667,0.02247191011235955,0.187,1,53.64814949992073,7.0,2.8,50.0,0.22794117647058823,46.580882352941174,24.469160768452983,0.02247191011235955,28.665318503538927,73.85237613751264,2.5,Low,Low
P000009,Healthcare Provider 9,DC,Internal Medicine,90,71048.6854101534,965.7796166469552,756,6,1609.67,268.28,294.25,4,4,0.667,0.667,0.044444444444444446,0.696,0,57.18574702902349,8.0,100.0,70.0,0.23015873015873015,65.16666666666667,84.73205257836199,0.044444444444444446,96.7644084934277,10.455005055611736,69.5,High,High
P000010,Healthcare Provider 10,FL,Cardiology,95,38495.30923325722,812.1147684543072,899,4,717.86,179.46,197.12,3,2,0.75,0.5,0.031578947368421054,0.377,1,53.64814949992073,18.6,94.3,65.0,0.31386861313868614,58.879562043795616,51.870576339737106,0.021052631578947368,23.559150657229523,59.45399393326593,77.4,High,High
